iter	Passed	Remaining
0	1	309
1	1	290
2	2	289
3	3	287
4	4	286
5	5	285
6	6	284
7	11	425
8	13	450
9	15	440
10	17	466
11	20	480
12	22	486
13	24	507
14	26	502
15	28	499
16	29	497
17	31	495
18	33	495
19	35	492
20	36	489
21	38	487
22	40	482
23	41	482
24	43	480
25	45	478
26	46	474
27	48	472
28	50	471
29	51	467
30	53	466
31	55	463
32	57	461
33	58	458
34	60	455
35	61	451
36	62	447
37	64	442
38	65	440
39	67	439
40	68	433
41	70	431
42	71	430
43	73	428
44	75	427
45	77	425
46	78	422
47	80	421
48	81	419
49	83	418
50	85	416
51	86	414
52	88	412
53	89	407
54	90	404
55	92	403
56	94	402
57	96	401
58	97	400
59	99	398
60	101	396
61	102	395
62	104	393
63	106	391
64	107	389
65	109	388
66	111	386
67	112	384
68	114	383
69	116	381
70	117	379
71	119	378
72	120	376
73	122	374
74	124	372
75	125	370
76	127	369
77	129	368
78	130	365
79	132	364
80	134	362
81	135	360
82	137	358
83	138	356
84	140	355
85	142	353
86	143	352
87	145	350
88	147	349
89	148	347
90	149	344
91	151	342
92	153	341
93	155	340
94	156	338
95	158	337
96	160	335
97	161	332
98	162	330
99	164	329
100	166	327
101	167	325
102	169	324
103	171	322
104	172	320
105	174	318
106	175	316
107	177	315
108	178	313
109	180	311
110	182	310
111	183	308
112	185	307
113	187	305
114	188	304
115	190	302
116	192	300
117	193	299
118	195	297
119	197	295
120	198	294
121	200	292
122	201	290
123	202	287
124	203	285
125	204	282
126	205	279
127	207	278
128	209	277
129	211	276
130	213	275
131	214	273
132	216	271
133	217	269
134	219	268
135	221	267
136	223	265
137	224	264
138	226	262
139	228	261
140	229	259
141	231	257
142	232	255
143	234	253
144	235	252
145	237	250
146	239	248
147	240	246
148	241	244
149	242	242
150	244	241
151	246	240
152	248	238
153	249	236
154	251	234
155	252	233
156	254	231
157	255	230
158	257	227
159	258	226
160	259	224
161	261	222
162	262	220
163	263	218
164	265	217
165	266	214
166	267	212
167	268	211
168	270	209
169	272	208
170	273	206
171	275	205
172	277	203
173	278	201
174	279	199
175	280	197
176	282	196
177	284	194
178	285	193
179	286	191
180	288	189
181	289	188
182	290	185
183	292	184
184	293	182
185	294	180
186	296	178
187	297	177
188	299	175
189	300	174
190	302	172
191	303	170
192	304	168
193	305	167
194	306	165
195	307	163
196	308	161
197	309	159
198	310	157
199	311	155
200	312	153
201	313	152
202	314	150
203	316	148
204	317	147
205	318	145
206	319	143
207	321	142
208	322	140
209	323	138
210	324	136
211	325	135
212	326	133
213	327	131
214	328	130
215	329	128
216	331	126
217	333	125
218	335	123
219	336	122
220	337	120
221	339	119
222	340	117
223	341	115
224	342	114
225	343	112
226	344	110
227	345	109
228	346	107
229	347	105
230	349	104
231	350	102
232	352	101
233	353	99
234	356	98
235	358	97
236	361	96
237	362	94
238	364	92
239	365	91
240	367	89
241	367	88
242	369	86
243	370	85
244	372	83
245	374	82
246	375	80
247	377	79
248	379	77
249	381	76
250	383	74
251	384	73
252	386	71
253	387	70
254	388	68
255	391	67
256	393	65
257	394	64
258	396	62
259	397	61
260	401	59
261	405	58
262	407	57
263	409	55
264	410	54
265	412	52
266	414	51
267	416	49
268	417	48
269	420	46
270	422	45
271	424	43
272	425	42
273	427	40
274	429	39
275	430	37
276	432	35
277	433	34
278	436	32
279	438	31
280	440	29
281	441	28
282	443	26
283	445	25
284	446	23
285	448	21
286	450	20
287	452	18
288	454	17
289	455	15
290	457	14
291	459	12
292	461	11
293	462	9
294	464	7
295	465	6
296	467	4
297	469	3
298	471	1
299	473	0
