agent_id,segment,tenure_months,monthly_contracts,retention_rate_13m,commission_rate,customer_satisfaction,cross_sell_count,complaint_count,training_hours,churned_12m,monthly_premium_10k,commission_cost_10k,cluster,cluster_segment
AG00000,Developing,28,5.0,70.9,35.3,8.2,0,1,12.2,0,903.0,319.0,1,Stable
AG00001,Stable,96,8.7,88.0,41.3,7.7,0,0,2.2,0,2301.0,950.0,2,Developing
AG00002,At-Risk,75,1.1,58.2,29.5,5.6,0,2,1.8,1,135.0,40.0,3,At-Risk
AG00003,Developing,25,5.5,69.1,31.8,6.6,0,0,9.6,0,1065.0,339.0,1,Stable
AG00004,Star,1,3.6,96.4,42.5,7.7,0,0,24.6,0,973.0,414.0,1,Stable
AG00005,At-Risk,22,1.4,50.8,22.9,5.1,0,3,9.2,1,172.0,39.0,3,At-Risk
AG00006,Developing,35,0.9,70.8,29.4,4.9,0,1,7.8,1,126.0,37.0,3,At-Risk
AG00007,Developing,56,5.4,62.5,42.1,5.2,2,1,7.0,0,1009.0,425.0,2,Developing
AG00008,Stable,73,6.7,75.1,42.5,6.7,2,1,4.8,0,1777.0,755.0,2,Developing
AG00009,Stable,16,6.2,77.7,37.7,5.3,0,1,12.0,0,1694.0,639.0,1,Stable
AG00010,Stable,2,1.3,83.8,34.5,4.9,0,2,24.0,1,347.0,120.0,1,Stable
AG00011,At-Risk,54,1.9,66.2,30.1,4.5,0,4,5.1,1,220.0,66.0,3,At-Risk
AG00012,Developing,5,1.3,70.5,28.0,6.4,1,0,16.0,1,261.0,73.0,1,Stable
AG00013,Developing,31,5.0,74.9,34.2,6.3,0,2,7.6,0,892.0,305.0,3,At-Risk
AG00014,Stable,8,4.0,88.6,38.2,7.2,0,2,15.9,0,1003.0,383.0,1,Stable
AG00015,Stable,8,1.6,73.8,41.5,6.6,1,0,15.2,1,284.0,118.0,1,Stable
AG00016,Stable,71,7.9,76.7,41.1,7.9,4,2,3.7,0,2231.0,917.0,2,Developing
AG00017,Star,24,5.0,96.8,46.9,7.2,2,2,8.6,1,1121.0,526.0,2,Developing
AG00018,Developing,55,2.5,76.2,35.1,6.3,0,1,7.2,0,449.0,158.0,3,At-Risk
AG00019,Developing,12,1.0,60.9,34.0,2.7,0,4,15.4,1,160.0,54.0,3,At-Risk
AG00020,Developing,19,3.7,60.3,32.5,6.3,0,3,7.4,0,696.0,226.0,3,At-Risk
